candidate_id,rank,score,reasoning
CAND_0052682,1,63.4,"6.6 years of relevant experience. Strong skills in faiss, python, embeddings. High GitHub activity. Excellent recruiter response rate. Strong interview completion record. Highly complete profile. Verified email. Verified phone. LinkedIn connected. Open to work."
CAND_0081846,2,61.58,"6.7 years of relevant experience. Strong skills in python, embeddings, qdrant. Strong interview completion record. Highly complete profile. Verified email. Verified phone. LinkedIn connected. Open to work."
CAND_0027691,3,60.73,"6.5 years of relevant experience. Strong skills in weaviate, embeddings, python. Highly complete profile. Verified email. Verified phone. LinkedIn connected. Open to work."
CAND_0086022,4,60.06,"5.3 years of relevant experience. Strong skills in pinecone, embeddings. High GitHub activity. Highly complete profile. Verified email. Verified phone. LinkedIn connected. Open to work."
CAND_0055905,5,59.39,"8.1 years of relevant experience. Strong skills in python, embeddings. Excellent recruiter response rate. Verified email. Verified phone. LinkedIn connected. Open to work."
CAND_0052328,6,59.16,6.5 years of relevant experience. Strong skills in python. High GitHub activity. Strong interview completion record. LinkedIn connected. Open to work.
CAND_0028793,7,58.93,7.2 years of relevant experience. Strong skills in embeddings. High GitHub activity. Highly complete profile. Verified email. Verified phone. LinkedIn connected. Open to work.
CAND_0070398,8,58.81,"7.2 years of relevant experience. Strong skills in rag, faiss, embeddings. Verified email. Verified phone. LinkedIn connected. Open to work."
CAND_0011162,9,58.75,"5.8 years of relevant experience. Strong skills in faiss, pinecone, python. Highly complete profile. Verified email. Verified phone. LinkedIn connected. Open to work."
CAND_0071974,10,58.65,"7.8 years of relevant experience. Strong skills in weaviate, pinecone, qdrant. High GitHub activity. Strong interview completion record. Highly complete profile. Verified email. Verified phone. LinkedIn connected. Open to work."
CAND_0070525,11,58.52,"5.4 years of relevant experience. Strong skills in python, embeddings. Excellent recruiter response rate. Strong interview completion record. Highly complete profile. Verified email. Verified phone. LinkedIn connected. Open to work."
CAND_0079387,12,58.44,6.9 years of relevant experience. Strong skills in python. Excellent recruiter response rate. Strong interview completion record. Highly complete profile. Verified email. Verified phone. LinkedIn connected. Open to work.
CAND_0018499,13,58.36,"7.2 years of relevant experience. Strong skills in weaviate, pinecone, rag. High GitHub activity. Strong interview completion record. Highly complete profile. Verified email. Verified phone. LinkedIn connected. Open to work."
CAND_0040887,14,58.27,"Strong skills in faiss, python. Excellent recruiter response rate. Strong interview completion record. Highly complete profile. Verified email. Verified phone. LinkedIn connected. Open to work."
CAND_0005260,15,57.81,"5.2 years of relevant experience. Strong skills in python, rag, embeddings. Excellent recruiter response rate. Highly complete profile. Verified email. Verified phone. LinkedIn connected."
CAND_0007009,16,57.76,"7.9 years of relevant experience. Strong skills in weaviate, python, embeddings. Strong interview completion record. Highly complete profile. Verified email. Verified phone. Open to work."
CAND_0051936,17,57.51,"Strong skills in embeddings, python. Excellent recruiter response rate. Highly complete profile. Verified email. Verified phone. LinkedIn connected. Open to work."
CAND_0076163,18,56.99,"6.9 years of relevant experience. Strong skills in weaviate, python. High GitHub activity. Excellent recruiter response rate. Highly complete profile. Verified email. Verified phone. LinkedIn connected. Open to work."
CAND_0080766,19,56.76,8.8 years of relevant experience. Strong skills in python. Strong interview completion record. Highly complete profile. Verified email. Verified phone. LinkedIn connected.
CAND_0012957,20,56.68,"Strong skills in rag, qdrant, python. Strong interview completion record. Verified email. Verified phone. LinkedIn connected."
CAND_0069905,21,56.65,"6.6 years of relevant experience. Strong skills in python, weaviate. Strong interview completion record. Verified email. Verified phone. LinkedIn connected. Open to work."
CAND_0088025,22,56.62,"8.6 years of relevant experience. Strong skills in pinecone, rag, python. High GitHub activity. Excellent recruiter response rate. Strong interview completion record. Verified email. Verified phone. LinkedIn connected. Open to work."
